location,timestamp,direction_degrees,direction_group,final_plot_group,H,T,sea_state,sea_state_bin,bin_min,bin_max,bin_count,candidate_rank,selection_rule,strict_direction_match,distance_from_strict_se_range_degrees,requested_direction_start,requested_direction_end,matched_timestamp_utc,match_delta_minutes,webcoos_element_uuid,webcoos_size_bytes
jennettes_pier,2025-11-24 07:56:00,55.0,north_easterly_onshore,onshore,0.63,6.67,2.647323,1,0.6059519999999999,4.124064,638,1,,,,,,,,,
jennettes_pier,2025-05-20 14:56:00,359.0,north_easterly_onshore,onshore,0.88,4.35,3.36864,1,0.6059519999999999,4.124064,638,2,,,,,,,,,
jennettes_pier,2025-01-03 11:26:00,338.0,north_easterly_onshore,onshore,1.01,4.76,4.855676,2,4.1405,6.25,637,1,,,,,,,,,
jennettes_pier,2025-04-10 16:56:00,47.0,north_easterly_onshore,onshore,1.08,4.76,5.5520640000000006,2,4.1405,6.25,637,2,,,,,,,,,
jennettes_pier,2025-08-12 15:56:00,65.0,north_easterly_onshore,onshore,0.79,11.11,6.933751000000001,3,6.25,8.547056000000001,637,1,,,,,,,,,
jennettes_pier,2025-12-05 07:56:00,17.0,north_easterly_onshore,onshore,1.27,4.76,7.677403999999999,3,6.25,8.547056000000001,637,2,,,,,,,,,
jennettes_pier,2025-02-22 06:26:00,24.0,north_easterly_onshore,onshore,1.2,6.67,9.6048,4,8.547056000000001,11.831508,638,1,,,,,,,,,
jennettes_pier,2025-04-08 22:56:00,12.0,north_easterly_onshore,onshore,1.35,5.88,10.7163,4,8.547056000000001,11.831508,638,2,,,,,,,,,
jennettes_pier,2025-01-12 17:56:00,37.0,north_easterly_onshore,onshore,1.35,7.14,13.01265,5,11.831508,15.818572,637,1,,,,,,,,,
jennettes_pier,2025-01-24 20:26:00,57.0,north_easterly_onshore,onshore,1.17,10.53,14.414516999999996,5,11.831508,15.818572,637,2,,,,,,,,,
jennettes_pier,2025-01-10 21:26:00,37.0,north_easterly_onshore,onshore,1.45,8.33,17.513825,6,15.824255999999998,21.2268,637,1,,,,,,,,,
jennettes_pier,2025-05-22 12:26:00,49.0,north_easterly_onshore,onshore,1.51,8.33,18.993233,6,15.824255999999998,21.2268,637,2,,,,,,,,,
jennettes_pier,2025-10-05 06:56:00,62.0,north_easterly_onshore,onshore,1.45,11.11,23.358775,7,21.250925999999996,28.030050000000006,638,1,,,,,,,,,
jennettes_pier,2025-02-13 13:26:00,58.0,north_easterly_onshore,onshore,1.61,9.88,25.609948000000006,7,21.250925999999996,28.030050000000006,638,2,,,,,,,,,
jennettes_pier,2025-02-12 04:56:00,54.0,north_easterly_onshore,onshore,2.21,6.25,30.525625,8,28.030675,38.148068,637,1,,,,,,,,,
jennettes_pier,2025-01-09 19:56:00,359.0,north_easterly_onshore,onshore,2.25,6.67,33.766875,8,28.030675,38.148068,637,2,,,,,,,,,
