X_warped,Y_warped,Z_m,u,timestamp,clip_name
-553717.4371514268,6541312.939531462,-102.28844160000048,0.0,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553717.3346131562,6541312.51707877,-102.28844160000048,0.002506265664160401,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553717.2320749332,6541312.094626031,-102.28844160000048,0.005012531328320802,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553717.1295367954,6541311.672173211,-102.28844160000048,0.007518796992481203,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553717.0269985734,6541311.249720473,-102.28844160000048,0.010025062656641603,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553716.9244602665,6541310.827267816,-102.28844160000048,0.012531328320802004,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553716.8219220436,6541310.404815077,-102.28844160000048,0.015037593984962405,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553716.719383906,6541309.982362256,-102.28844160000048,0.017543859649122806,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553716.6168456839,6541309.559909519,-102.28844160000048,0.020050125313283207,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553716.5143073772,6541309.137456861,-102.28844160000048,0.022556390977443608,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553716.4117691542,6541308.715004122,-102.28844160000048,0.02506265664160401,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553716.3092310169,6541308.292551302,-102.28844160000048,0.02756892230576441,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553716.2066927948,6541307.870098564,-102.28844160000048,0.03007518796992481,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553716.1041544874,6541307.447645907,-102.28844160000048,0.03258145363408521,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553716.0016162645,6541307.025193168,-102.28844160000048,0.03508771929824561,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553715.8990781273,6541306.602740347,-102.28844160000048,0.03759398496240601,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553715.7965399054,6541306.180287609,-102.28844160000048,0.040100250626566414,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553715.6940015976,6541305.757834952,-102.28844160000048,0.042606516290726815,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553715.5914633748,6541305.335382213,-102.28844160000048,0.045112781954887216,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553716.0336242472,6541305.071965602,-102.28844160000048,0.047619047619047616,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553716.790954446,6541304.900569341,-102.28844160000048,0.05012531328320802,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
-553717.5482847925,6541304.729173229,-102.28844160000048,0.05263157894736842,2026-02-17 07:44:00+00:00,surfline_trevone_20260217_0744
