X_warped,Y_warped,Z_m
188989.0,76026.0,5.093223167869161
188991.0,76026.0,5.108260439813754
188993.0,76026.0,5.11221520909804
188995.0,76026.0,5.11292749796204
188997.0,76026.0,5.1129974649637076
188999.0,76026.0,5.1129999999999995
189001.0,76026.0,5.1129999999999995
189003.0,76026.0,5.1129999999999995
189005.0,76026.0,5.1129999999999995
189007.0,76026.0,5.1129999999999995
189009.0,76026.0,5.1129999999999995
189011.0,76026.0,5.1129999999999995
189013.0,76026.0,5.1129999999999995
189015.0,76026.0,5.1129999999999995
189017.0,76026.0,5.1129999999999995
189019.0,76026.0,5.1129999999999995
189021.0,76026.0,5.1129999999999995
189023.0,76026.0,5.1129999999999995
189025.0,76026.0,5.1129999999999995
189027.0,76026.0,5.1129999999999995
189029.0,76026.0,5.1129999999999995
189031.0,76026.0,5.1129999999999995
189033.0,76026.0,5.1129999999999995
189035.0,76026.0,5.1129999999999995
189037.0,76026.0,5.1129999999999995
189039.0,76026.0,5.1129999999999995
189041.0,76026.0,5.1129999999999995
189043.0,76026.0,5.1129999999999995
189045.0,76026.0,5.1129999999999995
189047.0,76026.0,5.1129999999999995
189049.0,76026.0,5.1129999999999995
189051.0,76026.0,5.1129999999999995
189053.0,76026.0,5.1129999999999995
189055.0,76026.0,5.1129999999999995
189057.0,76026.0,5.1129999999999995
189059.0,76026.0,5.1129999999999995
189061.0,76026.0,5.1129999999999995
189063.0,76026.0,5.1129999999999995
189065.0,76026.0,5.1129999999999995
189067.0,76026.0,5.1129999999999995
189069.0,76026.0,5.1129999999999995
189071.0,76026.0,5.1129999999999995
189073.0,76026.0,5.1129999999999995
189075.0,76026.0,5.1129999999999995
189077.0,76026.0,5.1129999999999995
189079.0,76026.0,5.1129999999999995
189081.0,76026.0,5.1129999999999995
189083.0,76026.0,5.1129999999999995
189085.0,76026.0,5.1129999999999995
189087.0,76026.0,5.1129999999999995
189089.0,76026.0,5.1129999999999995
189091.0,76026.0,5.1129999999999995
189093.0,76026.0,5.1129999999999995
189095.0,76026.0,5.1129999999999995
189097.0,76026.0,5.1129999999999995
189099.0,76026.0,5.1129999999999995
189101.0,76026.0,5.1129999999999995
189103.0,76026.0,5.1129999999999995
189105.0,76026.0,5.1129999999999995
189107.0,76026.0,5.1129999999999995
189109.0,76026.0,5.1129999999999995
189111.0,76026.0,5.1129999999999995
189113.0,76026.0,5.1129999999999995
189115.0,76026.0,5.1129999999999995
189117.0,76026.0,5.1129999999999995
189119.0,76026.0,5.1129999999999995
189121.0,76026.0,5.1129999999999995
189123.0,76026.0,5.1129999999999995
189125.0,76026.0,5.1129999999999995
188925.0,76028.0,2.6879999999999993
188927.0,76028.0,2.6879999999999993
188929.0,76028.0,2.6879999999999993
188931.0,76028.0,2.6879999999999993
188933.0,76028.0,2.6879999999999993
188935.0,76028.0,2.6879999999999993
188937.0,76028.0,2.6879999999999993
188939.0,76028.0,2.6879999999999993
188941.0,76028.0,2.6879999999999993
188943.0,76028.0,2.6879999999999993
188945.0,76028.0,2.6879999999999993
188947.0,76028.0,2.6879999999999993
188949.0,76028.0,2.6879999999999993
188951.0,76028.0,2.6879999999999993
188953.0,76028.0,2.6879999999999993
188955.0,76028.0,2.6879999999999993
188957.0,76028.0,2.6879999999999993
188959.0,76028.0,2.6879999999999993
188961.0,76028.0,2.688051714740362
188963.0,76028.0,2.688686938501075
188965.0,76028.0,2.692408259109909
188967.0,76028.0,2.7068837106779853
188969.0,76028.0,2.7486707982473266
188971.0,76028.0,2.843778825174627
188973.0,76028.0,3.0202392087657493
188975.0,76028.0,3.292916387824289
188977.0,76028.0,3.6483060550186845
188979.0,76028.0,4.041933195631787
188981.0,76028.0,4.41342383599903
188983.0,76028.0,4.711883404499032
188985.0,76028.0,4.914898349586255
188987.0,76028.0,5.030666809627613
188989.0,76028.0,5.085081307307936
188991.0,76028.0,5.105626706108463
188993.0,76028.0,5.111592604184647
188995.0,76028.0,5.112832856607127
188997.0,76028.0,5.112991155540047
188999.0,76028.0,5.1129999999999995
189001.0,76028.0,5.1129999999999995
189003.0,76028.0,5.1129999999999995
189005.0,76028.0,5.1129999999999995
189007.0,76028.0,5.1129999999999995
189009.0,76028.0,5.1129999999999995
189011.0,76028.0,5.1129999999999995
189013.0,76028.0,5.1129999999999995
189015.0,76028.0,5.1129999999999995
189017.0,76028.0,5.1129999999999995
189019.0,76028.0,5.1129999999999995
189021.0,76028.0,5.1129999999999995
189023.0,76028.0,5.1129999999999995
189025.0,76028.0,5.1129999999999995
189027.0,76028.0,5.1129999999999995
189029.0,76028.0,5.1129999999999995
189031.0,76028.0,5.1129999999999995
189033.0,76028.0,5.1129999999999995
189035.0,76028.0,5.1129999999999995
189037.0,76028.0,5.1129999999999995
189039.0,76028.0,5.1129999999999995
189041.0,76028.0,5.1129999999999995
189043.0,76028.0,5.1129999999999995
